ID videa;ID článku;views;SUM(time)
353933;46233;2;50
355029;46511;1;190
355137;46522;2;458
355519;46627;1;460
357466;47083;1;740
357956;47306;2;107
358211;47383;4;5462
358882;47659;1;70
358894;47578;1;20
361515;48435;1;170
361564;48387;4;1411
361922;48471;3;2090
362859;49199;6;6200
363102;48821;9;8486
364591;53742;1;30
364924;49558;1;810
365264;50139;2;1690
365455;50007;3;1565
366094;50553;5;5383
366116;50564;4;3180
367328;51972;1;1577
367436;52113;1;110
367676;52342;1;400
367879;52433;1;30
368110;52610;1;331
368158;52676;2;3212
368195;52669;1;1614
368217;53305;3;1010
368445;52797;1;10
368494;52875;2;139
368839;53193;8;7508
369023;53220;16;7396
369059;53232;1;121
369072;53455;10;2492
369682;53724;2;364
369694;53769;1;25
369956;53704;5;7321
370035;54009;4;596
370047;53993;1;790
370118;54194;85;59818
370287;54205;1;40
370537;54426;1;848
370777;54828;1;20
370993;54723;4;3078
371355;55021;4;1810
371414;55030;2;70
371558;55138;1;1380
371571;55221;2;292
371605;55130;3;404
371713;55224;1;213
371725;55227;1;177
371762;55307;4;1552
371882;55317;2;295
371916;55369;4;826
371928;55342;1;10
371941;55356;1;NULL
371977;55379;1;62
372041;0;1;38
372089;55491;178;75588
372124;55466;1;62
372219;55520;9;6825
372256;55556;8;9055
372268;55549;1;NULL
372411;55771;2;364
372531;55773;3;199
372567;55757;1;128
372602;55804;1;63
372626;0;3;102
372638;55863;181;90268
372663;55975;83;60305
372687;55860;1;24
372746;null;2;79
372795;55962;2;38
372805;55996;1;127
372842;56020;1;46
373001;56047;18;1235
373025;56056;2;775
373348;56171;4;548
373385;56196;1;62
373515;56384;301;242246
373527;56247;3;1092
373539;56220;3;747
373576;56269;42;19309
373588;56294;2;312
373743;56297;2;118
373767;56292;3;128
373792;56311;4;632
373802;55892;31;6674
373922;56324;1;60
374095;null;11;458
374117;56461;2;59
374129;56467;1;187
374142;56482;13;2000
374178;56452;4;968
374191;56506;2;382
374213;56333;2;220
374333;56567;167;5484
374370;56558;161;54560
374489;56606;6;355
374619;56619;8;384
374693;56653;10;4917
374739;55860;8;202
374764;56695;148;9114
374847;56713;27;1444
374872;56709;105;7998
374896;56739;530;41240
128292;28195;2;270
128924;28380;1;60
129970;28661;1;68
132593;29452;0;169
133254;29643;2;1603
135380;29983;7;2956
136830;50813;1;77
144855;31496;1;175
145433;31774;1;20
158789;34141;2;41
167021;35376;7;1542
168091;34682;1;420
168257;35538;1;250
179128;38091;1;39
319409;40005;1;160
321048;40265;1;702
323519;40594;1;50
325106;40884;1;535
325310;40918;2;84
325549;40955;1;250
329250;41440;1;40
329453;41350;1;20
330859;54605;1;159
332591;41963;1;1240
336325;42533;1;NULL
336362;42503;1;124
339555;43132;1;1131
340423;43207;3;2848
341971;43401;1;30
343151;43613;1;1573
344733;43893;1;NULL
344997;43925;8;1900
345551;44047;1;250
346200;44147;3;159
346427;44096;1;1552
347137;44341;2;1695
347735;44409;1;10
351127;56550;2;1110
351808;45424;1;110
352746;45892;1;90
353049;45987;3;99
353204;46026;1;620
354489;46552;1;370
354788;46426;1;200
355258;46562;1;322
357347;47111;1;120
357717;47208;2;1077
358895;47582;1;30
358905;47665;1;120
359473;47735;1;840
360294;47979;3;1610
360532;48330;6;3360
360796;48072;1;70
363725;48935;4;5668
364065;49093;1;180
365037;49686;1;10
365397;49948;3;2592
365647;50115;1;NULL
365731;50182;1;30
365958;50409;1;490
366129;50614;2;1528
36619;12271;2;542
366369;50718;1;71
366620;51055;3;3160
366918;51361;2;2810
367092;51661;1;52
367317;51399;1;96
367425;52158;1;770
367903;52445;1;NULL
367976;52511;2;1830
368039;52581;2;1064
368218;53733;1;330
368828;52733;2;1500
369097;53537;494;313123
369323;53501;1;20
369813;54153;4;750
369898;53895;1;30
370119;54584;13;12360
370132;54052;1;52
370335;54175;1;30
370347;54224;3;246
370396;54260;1;220
370766;54563;39;2537
370778;54566;2;34
370791;54575;1;109
370849;54605;1;215
371069;54774;2;380
371212;54714;2;1580
371273;54891;4;280
371523;55092;1;29
371559;56477;25;980
371631;55803;11;2605
371775;55262;3;546
371954;55371;1;87
372042;55507;1;50
372091;56286;19;4040
372221;55510;2;380
372316;55587;5;659
372353;55613;1;109
372377;55633;20;20765
372507;56569;4;850
372520;56153;304;189755
372544;55777;1;31
372556;55427;5;1270
372568;55756;4;378
372640;55871;3;116
372652;55895;2;110
372664;56046;5;2449
372711;55929;1;83
373026;56130;40;4829
373266;56188;17;4685
373337;null;4;168
373374;56226;3;5409
373504;56259;328;178252
373553;56257;2;82
373589;56267;1;138
373803;56299;7;1134
374096;56443;4;166
374167;56333;2;14
374192;56493;4;620
374202;56498;1;1597
374214;56423;11;1590
374334;56567;186;20566
374346;0;2;49
374371;56575;12;2750
374417;56571;5;651
